Titel,Untertitel,Link,Beschreibung,Stichworte
Democracy - Im Rausch der Daten,Trailer,https://www.bpb.de/mediathek/260235/democracy-im-rausch-der-daten,Trailer zum preisgekrönten Dokumentarfilm. Eine fesselnde Geschichte über die Entstehung der Europäischen Datenschutzrichtlinie. Gleichzeitig ein spannender Einblick in den Gesetzgebungsprozess der Europäischen Union. Ab dem 1. Juli 2018 auf bpb.de/d,"europäische Union, EU, Datenschutz, Europäisches Parlament, Internetregulierung, Internetwirtschaft, Demokratie, Lobbyismus"
Democracy and Authoritarianism 1918 to 2018. A »Longue Durée« perspective,1918 – 1938 – 2018 – Beginn eines autoritären Jahrhunderts?,https://www.bpb.de/mediathek/280757/democracy-and-authoritarianism-1918-to-2018-a-longue-duree-perspective,"Wolfgang Merkel (WZB and Humboldt-University, Berlin) - Challenges to Democracy in the 21st Century ","Jugenddemokratiepreis, Jugendjury, Preis, Rechtsextremismus, No Border Magazin, Stimmen des Nordens, Interkulturelles Streetwork, Preisverleihung, Demokratie, Internationaler Demokratiepreis"
Democracy and Authoritarianism 1918 to 2018. A »Longue Durée« perspective,1918 – 1938 – 2018 – Beginn eines autoritären Jahrhunderts?,https://www.bpb.de/mediathek/280756/democracy-and-authoritarianism-1918-to-2018-a-longue-duree-perspective,"W. Lance Bennett (University of Washington, Seattle) - Who are the People? Communication, Power, and the Rise of Anti-Democratic Politics","Jugenddemokratiepreis, Jugendjury, Preis, Rechtsextremismus, No Border Magazin, Stimmen des Nordens, Interkulturelles Streetwork, Preisverleihung, Demokratie, Internationaler Demokratiepreis"
Democracy and Authoritarianism 1918 to 2018. A »Longue Durée« perspective,1918 – 1938 – 2018 – Beginn eines autoritären Jahrhunderts?,https://www.bpb.de/mediathek/280760/democracy-and-authoritarianism-1918-to-2018-a-longue-duree-perspective,Katharine Sarikakis (University of Vienna) - Media as the Fourth Estate? Between Agora and Tyranny in the Authoritarian Century,"Jugenddemokratiepreis, Jugendjury, Preis, Rechtsextremismus, No Border Magazin, Stimmen des Nordens, Interkulturelles Streetwork, Preisverleihung, Demokratie, Internationaler Demokratiepreis"
Demographischer Wandel in Deutschland,MrWissen2go erläutert,https://www.bpb.de/mediathek/257566/demographischer-wandel-in-deutschland,"Mirko Drotschmann alias MrWissen2go erläutert den Begriff ""Demografischer Wandel"". Im Rahmen der Veranstaltung ""Wir müssen reden"", die am 21.10.2017 im Deutschen Hygiene Museum Dresden (DHMD) stattfindet, wird besprochen, was demographischer Wandel i","Generationendialog, Generationengerechtigkeit, demografischer Wandel, Brexit, Trump, ältere Menschen, Alter, Jüngere Menschen, Gesundheitswesen, Pflegebedürftigkeit"
Demokratie oder Medienherrschaft - wo leben wir eigentlich?,Streitraum vom 18.11.2012,https://www.bpb.de/mediathek/151615/demokratie-oder-medienherrschaft-wo-leben-wir-eigentlich,"Evelyn Roll, Thomas Meyer und Thomas Krüger im Gespräch mit Carolin Emcke.","Postdemokratie, Informationsgesellschaft, Informationsfreiheit, Medien, Demokratie"
Den Bock zum Gärtner?,Der neue DDR-Justizminister Wünsche,https://www.bpb.de/mediathek/759/den-bock-zum-gaertner,Auch in der frei gewählten neuen DDR-Regierung sitzen alte Kader. Kurt Wünsche war schon einmal DDR-Justizminister. KONTRASTE zeichnet seine politische Laufbahn nach.,"Politisches Strafrecht, Justizverwaltung, DDR 1949 - 1990, Rechtsstaat"
Den Leser ernst nehmen,Renate Alwicher im Interview,https://www.bpb.de/mediathek/689/den-leser-ernst-nehmen,"Die Redakteurin der Jugendseite x-bay erklärt, wie politische Themen auf einer Jugendseite Platz finden können.","Journalismus, Medien, Jugend, Elektronische Medien"
Denk ich an Russland...,Streitraum vom 14.12.2014,https://www.bpb.de/mediathek/200308/denk-ich-an-russland-,"Russland erscheint uns oft fremd. Kann die Literatur helfen, einen Zugang zu Kultur und Menschen des Landes zu schaffen und ein vielschichtiges Bild der russischen Gesellschaft zu zeichnen? Darüber sprach Carolin Emcke mit russischen Schriftstellerin","Literatur, Gesellschaft, Kultur"
"Der ""Stasi-Staat""",Weitere Informationen,https://www.bpb.de/mediathek/233714/der-stasi-staat,Eine SPIEGEL-TV-Reportage über den Sturm auf die Stasi am 15. Januar 1990 und die ersten Erkenntnisse der örtlichen Bürgerkomitees über das Wirken der DDR-Geheimpolizei. Erstausstrahlung war am 21.1.1990  ,Ministerium für Staatssicherheit Stasi
Der 15. Januar 1990 - ein welthistorischer Tag,Interview mit Roland Jahn,https://www.bpb.de/mediathek/348/der-15-januar-1990-ein-welthistorischer-tag,Der DDR-Bürgerrechtler und Journalist spricht über seine Erfahrungen als ARD-Reporter am 15. Januar 1990.,"DDR 1949 - 1990 / Opposition, Ministerium für Staatssicherheit, Roland Jahn, SED"
Der 15. Januar begann im Dezember,Interview mit dem Pfarrer Martin Montag,https://www.bpb.de/mediathek/423/der-15-januar-begann-im-dezember,Der ehemalige Vorsitzende des Bürgerkomitees Thüringen berichtet über seine Erfahrungen bei der Besetzung der Stasi-Zentrale.,"DDR 1949 - 1990 / Opposition, Ministerium für Staatssicherheit"
Der 2. Juni 1967 und die 68er,Inhalt,https://www.bpb.de/mediathek/190168/der-2-juni-1967-und-die-68er,Welche Rolle spielte die Erschießung Benno Ohnesorgs am 2. Juni 1967 für die Entwicklung der 68er?,"68er, APO, APO / Studentenbewegung, Gesellschaftskritik"
Der 8. Mai als europäisches Datum,Interview mit Aleida Assmann,https://www.bpb.de/mediathek/737/der-8-mai-als-europaeisches-datum,"Was wird erinnert? Und wie kann der Einzelne teilhaben am kulturellen Gedächtnis? Aleida Assmann meint: Vor allem Gedenktage bieten dazu die Möglichkeit. Im 8. Mai sieht sie ein europäisches Datum: einen Tag, an dem man sich trifft und die partikular","Erinnerungskultur, Kollektive Erinnerung, Zweiter Weltkrieg, Zweiter Weltkrieg, Gedenken, kulturelles Gedächtnis"
Der 9. November 1989: Die Maueröffner,"Ost-Berlin, Bornholmer Straße und Brandenburger Tor, 23 Uhr",https://www.bpb.de/mediathek/297768/der-9-november-1989-die-maueroeffner,"Unkommentiertes Drehmaterial von SPIEGEL-TV aus der Nacht vom 9.auf den 10. November 1989, gefilmt im Grenzübergang Bornholmer Straße ab 23 Uhr und am Brandenburger Tor.   ","Mauerfall, Grenzübergang, Berliner Mauer"
Der Anfang vom Ende des freien Internets?,SPACE NET – Netzpolitik mit den Space Frogs,https://www.bpb.de/mediathek/287830/der-anfang-vom-ende-des-freien-internets,"Eigentlich gilt im Internet: Alle Daten sind gleich, egal von wem sie hoch- oder heruntergeladen werden. Netzneutralität heißt das Konzept – und es ist nicht selbstverständlich. Denn mit der fortschreitenden Kommerzialisierung der Netz-Infrastruktur ","Meinungsfreiheit, Internet, Medien, Grundgesetz, NetzDG, Zensur, Netzneutralität, Zero-Rating, Datennutzung, Limit, Bundesnetzagentur, Zwei-Klassen-Internet"
Der BVB und seine rechtsextremen Fans,Schwerpunkt Fußball im Dossier Rechtsextremismus auf bpb.de,https://www.bpb.de/mediathek/186307/der-bvb-und-seine-rechtsextremen-fans,"Der Fußballbundesligist Borussia Dortmund hat ein Problem mit rechtsextremen Fans, sagt der Journalist Olaf Sundermeyer. Im Interview spricht er über die Berührungspunkte von rechten Fußballfans und rechten Politaktivisten in Dortmund.","BVB, Borussia Dortmund, Borussenfront, Neonazismus, Fußball, Rechtsradikalismus, Rechtsextremismus, Sportverein"
Der Beginn eines autoritären Zeitalters?,Prof. Oliver Rathkolb und Hans-Georg Golz im Gespräch,https://www.bpb.de/mediathek/275781/der-beginn-eines-autoritaeren-zeitalters,"Die beiden Veranstalter der Tagung ""1918 - 1938 - 2018 - Beginn eines autoritären Zeitalters?!"" Prof. Oliver Rathkolb (Uni Wien) und Hans-Georg Golz (bpb) im Gespräch dazu, welche Fragen die Geschichte für gegenwärtige, politische Entwicklungen aufge","Zeitgeschichte, europäische Geschichte, Autoritarismus, 1918, 1938, Konferenz, Tagung, Weimarer Republik, Nationalsozialismus, Demokratie"
Der Bessere hat gewonnen,Jürgen Sparwasser im Interview,https://www.bpb.de/mediathek/725/der-bessere-hat-gewonnen,Der ehemalige Fußballspieler - und DDR-Star nach seinem entscheidenden Tor gegen die DFB-Elf - spricht über seine Popularität und sein Leben in der DDR.,"DDR 1949 - 1990, Fußball, DDR 1949 - 1990 / Gesellschaft, Fußballweltmeisterschaft"
Der Blick über den Tellerrand,Cathérine Duttweiler im Interview,https://www.bpb.de/mediathek/386/der-blick-ueber-den-tellerrand,"Die Chefredakteurin des Bieler Tagblatt in der Schweiz erklärt, wie es gelang entgegen dem Branchentrend die Auflage zu steigern.","Journalismus, Druckmedien, Lokaljournalismus, Medien, Zeitung"
Der Brexit ist da,einfach POLITIK aktuell: Hören in einfacher Sprache,https://www.bpb.de/mediathek/306327/der-brexit-ist-da,"In der Europäischen Union gibt es eine wichtige Veränderung. Großbritannien ist aus der EU ausgetreten. Zu dem Austritt sagt man auch Brexit. Es ist das erste Mal, dass ein Land aus der EU ausgetreten ist. Was wird sich ändern und was bleibt gleich? ","Brexit, EU, einfachPolitik, Einfache Sprache, Großbritannien"
Der Datenschützer Peter Schaar über Regeln im Netz,Inhalt,https://www.bpb.de/mediathek/44031/der-datenschuetzer-peter-schaar-ueber-regeln-im-netz,Er gilt ein wenig als der Spiel­ver­der­ber der digi­ta­len Gesell­schaft: Peter Schaar ist Daten­schüt­zer und übt bereits seit 2003 das Amt des Bun­des­be­auf­trag­ten für den Daten­schutz und die Infor­ma­ti­ons­frei­heit aus.,"Datenschutz, Informationsfreiheit, Überwachung"
Der Europamacher - Jean-Claude Juncker,Weitere Informationen,https://www.bpb.de/mediathek/600/der-europamacher-jean-claude-juncker,Filmporträt über den Premierminister von Luxemburg und Europapolitiker Jean-Claude Juncker.,"Regierung, Europapolitik, europäische Union, politisches Engagement, politische Partizipation"
Der Faktor Demografie – Interview mit Johannes Giesecke,Inhalt,https://www.bpb.de/mediathek/245019/der-faktor-demografie-interview-mit-johannes-giesecke,Durchschnittlich 700.000 Neugeborene kommen in Deutschland jährlich zur Welt. Doch der Wert sinkt seit Jahrzehnten. Wie kann dieser Schrumpfung auf dem Arbeitsmarkt begegnet werden? Migration scheint eine Lösung. Deren Früchte können jedoch nur geern,"Arbeit, Zukunft, Zukunft der Arbeit, Demografie, Wirtschaft, Arbeitsplätze, demografischer Wandel, Geburtenrückgang, Fachkräftemangel, Arbeitsmarkt, Flexibilisierung, Digitalisierung"
Der Fall der Berliner Mauer,Interview mit Günter Schabowski zum Mauerfall,https://www.bpb.de/mediathek/503/der-fall-der-berliner-mauer,Das damalige Mitglied des DDR-Politbüros schildert die Ereignisse vom 9. November 1989 aus seiner Sicht.,"DDR 1949 - 1990, Deutsche Einheit, Mauerfall"
Der Film im Nationalsozialismus beginnt mit der Ausgrenzung,Interview mit Rainer Rother,https://www.bpb.de/mediathek/194399/der-film-im-nationalsozialismus-beginnt-mit-der-ausgrenzung,Rainer Rother von der Stiftung Deutsche Kinemathek im Gespräch mit Miriam Menzel auf der 4. Internationalen Konferenz zur Holocaustforschung.,"Ausgrenzung, Holocaust, Drittes Reich 1933 - 1945, NS-Terror, Nationalsozialismus, Film, Drittes Reich 1933 - 1945 / Kunst und Kultur"
"Der Fotograf Martin Blume über das Projekt ""Auschwitz heute""",Inhalt,https://www.bpb.de/mediathek/199292/der-fotograf-martin-blume-ueber-das-projekt-auschwitz-heute,"Der Künstler Martin Blume hat seit 2009 an der Stätte des KZ Auschwitz-Birkenau eine Fotografie-Serie erarbeitet, die kommenden Generationen Shoa, Porajmos und die weiteren organisierten Massenmorde der Nationalsozialisten im Bewusstsein halten kann.","Shoah, Auschwitz, Holocaust, Konzentrationslager, Fotografie, Aufarbeitung der NS-Verbrechen"
Der Himmel wird warten,Inhalt,https://www.bpb.de/mediathek/293441/der-himmel-wird-warten,"Sylvie lebt allein mit ihrer Tochter Mélanie. Sie ist stolz auf das enge Verhältnis, das sie zu ihrer Tochter hat. Doch irgendwann begegnet Mélanie im Internet einem Jungen, der ihr regelmäßig zu schreiben beginnt, ihr Komplimente macht und sie schli","Französisch, Dschihad, Drama Islam, Islamismus, Radikalisierung, Fundamentalismus, Religion, Religiosität"
Der Journalist Michael S. Cullen über Erwartungen an die US-Politik,Wie wählt Amerika?,https://www.bpb.de/mediathek/190818/der-journalist-michael-s-cullen-ueber-erwartungen-an-die-us-politik,"Thomas Krüger, Präsident der Bundeszentrale für politische Bildung, interviewt am Wahlabend des 04.11.08 den US-Journalisten und Publizisten Michael S. Cullen im Amerika Haus Berlin im Hinblick auf Erwartungen an eine neue US-Außenpolitik und zu erwa","Präsidentschaftswahlen, Wahlkampf, Bilaterale Beziehungen, Außenpolitik, Barack Obama, Finanzpolitik"
Der Jungfrauenwahn,Ein Dokumentarfilm von Güner Balci,https://www.bpb.de/mediathek/248634/der-jungfrauenwahn,In diesem Film geht es um das Verhältnis des Islams zur Sexualität und warum sexuelle Freiheit und ein selbstbestimmtes Leben für junge Muslime heute noch immer zur Gefahr werden können. ,"Islam, Sexualität, Freiheit, Familie, Al-Ghazali, junge Generation"
Der Krieg um Wasser findet nicht statt,"Eine Folge aus der Serie ""Mit offenen Karten""",https://www.bpb.de/mediathek/73427/der-krieg-um-wasser-findet-nicht-statt,"Die Süßwasserreserven auf der Erde sind ungleich verteilt und werden zudem noch ungleich verbraucht. Daraus entstehen Wasserkonflikte, denen sich diese Folge von ""Mit offenen Karten"" widmet.","Wasserkonflikt, Trinkwasser, Konflikt, Ressourcen, Umweltverschmutzung, Geopolitik"
Der Liebesbrief,Inhalt,https://www.bpb.de/mediathek/166477/der-liebesbrief,"Mecki erklärt die Vorzüge der Briefwahl und ermahnt das Publikum von seinem Wahlrecht Gebrauch zu machen. Die Filme entstanden im Auftrag der Bundeszentrale für Heimatdienst, der Vorgängerinstitution der Bundeszentrale für politische Bildung. Mehr da","Mecki, Bundestagswahl, Wahlrecht, Wahl, Briefwahl, Nachkriegszeit, Bundeszentrale für politische Bildung"
"Der Ort des ""Bösen""",Wie Auschwitz zum Inbegriff des Holocaust wurde,https://www.bpb.de/mediathek/284605/der-ort-des-boesen,"2,1 Millionen Menschen besuchten 2017 die Gedenkstätte Auschwitz-Birkenau, eine Million mehr als zehn Jahre zuvor, zehnmal mehr als in einem durchschnittlichen Jahr der Nachkriegsdekade. Das Interesse an jenem Ort scheint stetig zu wachsen, während a",Holocaust; Europa; Nationalsozialismus; Shoa; Auschwitz; Birkenau; Gedenkstätte; Erinnerungskultur
"Der Osten ist eine ""Übergangsgesellschaft""",Joachim Gauck im Interview,https://www.bpb.de/mediathek/590/der-osten-ist-eine-uebergangsgesellschaft,Der ehemalige Leiter der BStU spricht über den Umgang von Ost- und Westdeutschen mit der Geschichte der DDR.,"DDR 1949 - 1990, Politische Geschichte, Wiedervereinigung, Aufarbeitung"
Der Prophet,Warum die DDR verschwand. Eine Weissagung von Joseph Beuys,https://www.bpb.de/mediathek/299779/der-prophet,"Der bundesdeutsche Konzept-Künstler Joseph Beuys erhielt 1985 ein Einreiseverbot in die DDR. In einem Interview stellte er eine Vermutung an, warum. Und sah den Untergang der DDR voraus. In einem langen Satz.","DDR, SED, Beuys, Einreiseverbot"
"Der Redaktionsleiter Johannes Unger über die Reihe ""60 x Deutschland""",Weitere Informationen,https://www.bpb.de/mediathek/163416/der-redaktionsleiter-johannes-unger-ueber-die-reihe-60-x-deutschland,"Der Redaktionsleiter Johannes Unger spricht über die Konzeption von ""60 x Deutschland"", über die Rolle von Zeitzeugen und persönlichen Erfahrungen und über den Ansatz einer gesamtdeutschen Geschichtsdarstellung.","Jahresschau, Deutschland 1945 -, Mediengeschichte, Medien, Deutsche Teilung, Zeitzeuge, Filmbildung"
Der Regenwald brennt,einfach POLITIK aktuell: Hören in einfacher Sprache,https://www.bpb.de/mediathek/298609/der-regenwald-brennt,In Südamerika gibt es große Waldbrände. Es sind riesige Regenwälder. Warum brennt der Regenwald? Was kann man dagegen tun? Und warum ist das wichtig für uns? ,"Regenwald, Amazonas, Umwelt, Waldbrand, Einfach Politik, Einfache Sprache, Teilhabe, leichte Sprache"
"Der Regisseur Jan Lorenzen über die Reihe ""60 x Deutschland""",Weitere Informationen,https://www.bpb.de/mediathek/163417/der-regisseur-jan-lorenzen-ueber-die-reihe-60-x-deutschland,"Im Interview beschreibt Jan Lorenzen, der Regisseur von ""60 x Deutschland"", seine Erfahrungen mit der Arbeit an der Geschichtsreihe. Er schildert sein Vorgehen und erklärt, für welche Konzepte er sich entschieden hat.","Jahresschau, Deutschland 1945 -, Mediengeschichte, Medien, Filmbildung"
Der Schülerwettbewerb zur politischen Bildung - was ist das?,Social Media Version,https://www.bpb.de/mediathek/253829/der-schuelerwettbewerb-zur-politischen-bildung-was-ist-das,"Was ist der Schülerwettbewerb zur politischen Bildung? Beteiligte berichten über den Wettbewerb, ihre Erfahrungen und erklären, wie man am Wettbewerb teilnehmen kann.","Schülerwettbewerb zur politischen Bildung, Wettbewerb, Projektunterricht"
Der Schülerwettbewerb zur politischen Bildung - was ist das?,Inhalt,https://www.bpb.de/mediathek/253828/der-schuelerwettbewerb-zur-politischen-bildung-was-ist-das,"Was ist der Schülerwettbewerb zur politischen Bildung? Beteiligte berichten über den Wettbewerb, ihre Erfahrungen und erklären, wie man am Wettbewerb teilnehmen kann.","Schülerwettbewerb zur politischen Bildung, Wettbewerb, Projektunterricht"
Der Schülerwettbewerb zur politischen Bildung 2016,Highlights aus dem Wettbewerbsjahr 2016/2017,https://www.bpb.de/mediathek/253827/der-schuelerwettbewerb-zur-politischen-bildung-2016,"Rückblick auf den Schülerwettbewerb zur politischen Bildung  2016/2017.  Ausgewählte Klassen berichten über den Wettbewerb und ihre Erfahrungen, sie erklären, wie man am Wettbewerb teilnehmen kann und werden bei ihrer Gewinnerreise nach Berlin gezeig","Schülerwettbewerb zur politischen Bildung, Wettbewerb, Projektunterricht"
Der Schülerwettbewerb zur politischen Bildung 2017/2018,Highlights aus dem Wettbewerbsjahr 2017/ 2018,https://www.bpb.de/mediathek/277436/der-schuelerwettbewerb-zur-politischen-bildung-2017-2018,Ausgewählte Klassen berichten in einem Rückblick auf den Schülerwettbewerb zur politischen Bildung  2018/2018 über das Entstehen ihrer Beiträge und werden bei Ihrer Gewinnerreise nach Bonn und Paris gezeigt.,"Schülerwettbewerb zur politischen Bildung, Wettbewerb, Projektunterricht"
Der Schülerwettbewerb zur politischen Bildung 2017/2018 - Kurzversion,Highlights aus dem Wettbewerbsjahr 2017/ 2018,https://www.bpb.de/mediathek/277435/der-schuelerwettbewerb-zur-politischen-bildung-2017-2018-kurzversion,Ausgewählte Klassen berichten in einem Rückblick auf den Schülerwettbewerb zur politischen Bildung  2017/2018 über das Entstehen ihrer Beiträge und werden bei Ihrer Gewinnerreise nach Paris gezeigt.,"Schülerwettbewerb zur politischen Bildung, Wettbewerb, Projektunterricht"
Der Schülerwettbewerb zur politischen Bildung 2018/2019,Highlights aus dem Wettbewerbsjahr 2018/2019,https://www.bpb.de/mediathek/295088/der-schuelerwettbewerb-zur-politischen-bildung-2018-2019,Ausgewählte Klassen berichten in einem Rückblick auf den Schülerwettbewerb zur politischen Bildung  2018/2019 über das Entstehen ihrer Beiträge und werden bei Ihrer Gewinnerreise nach Berlin und Prag gezeigt.,"Schülerwettbewerb zur politischen Bildung, Wettbewerb, Projektunterricht"
Der Schülerwettbewerb zur politischen Bildung 2018/2019 - Kurzversion,Highlights aus dem Wettbewerbsjahr 2018/2019,https://www.bpb.de/mediathek/295084/der-schuelerwettbewerb-zur-politischen-bildung-2018-2019-kurzversion,Ausgewählte Klassen berichten in einem Rückblick auf den Schülerwettbewerb zur politischen Bildung  2018/2019 über das Entstehen ihrer Beiträge und werden bei Ihrer Gewinnerreise nach Berlin und Prag gezeigt.,"Schülerwettbewerb zur politischen Bildung, Wettbewerb, Projektunterricht"
Der Spionagefilm - ein Schlüsselgenre des Kalten Krieges?,Zeithistoriker Dr. Christoph Classen im Gespräch,https://www.bpb.de/mediathek/73424/der-spionagefilm-ein-schluesselgenre-des-kalten-krieges,Im Interview erläutert Dr. Christoph Classen vom Zentrum für Zeithistorische Forschung Potsdam die Gründe für die Blüte des Spionagefilms in den 1950er-/1960er-Jahren und den Wert dieses historischen Filmkorpus als Spiegel gesellschaftlicher Befindli,"Spionagefilm, Kalter Krieg, Film, Spionage, Überwachung, Filmbildung"
Der Stadtvater - Christian Ude,Weitere Informationen,https://www.bpb.de/mediathek/601/der-stadtvater-christian-ude,"Filmporträt über den direkt gewählten, sozialdemokratischen Oberbürgermeister der bayerischen Landeshauptstadt München.","Oberbürgermeister, Verwaltung, politisches Engagement, politische Partizipation, SPD"
Der Umgang mit der DDR war nicht fair,Ulrich Plenzdorf im Interview,https://www.bpb.de/mediathek/396/der-umgang-mit-der-ddr-war-nicht-fair,Der Autor spricht über seine Erfahrungen bei den Weltfestspielen und über die Wiedervereinigung.,"Wiedervereinigung, Festival, DDR 1949 - 1990, Weltfestspiele 1973, Aufarbeitung"
Der Weg in den Holocaust,Vortrag von Raul Hilberg,https://www.bpb.de/mediathek/308/der-weg-in-den-holocaust,Der Holocaust-Forscher referiert über die Etappen und Prozesse  auf dem Weg in die Vernichtung der europäischen Juden.,"Holocaust, Judenvernichtung, Drittes Reich 1933 - 1945, Antisemitismus"
Der Wunsch nach Offenheit kann ansteckend sein,Andrej A. Gratchev im Interview,https://www.bpb.de/mediathek/743/der-wunsch-nach-offenheit-kann-ansteckend-sein,"Die kommunistischen Führungen wagten während der Weltfestspiele mehr Offenheit, weil sie ihr System nach der Niederlage der USA in Vietnam für unverwundbar hielten, argumentiert Gratchev.","Weltfestspiele 1973, DDR 1949 - 1990, Ost-West-Konflikt, Festival, Politische Ideologie"
Der demokratische Despotismus,Streitraum vom 16.11.2014,https://www.bpb.de/mediathek/200307/der-demokratische-despotismus,Carolin Emcke im Gespräch mit Alain Badiou und Thomas Ostermeier über das Spannungsverhältnis zwischen Legitimität und Autorität von Demokratien in Zeiten grenzüberschreitender Flüchtlingsmigration.,"Legitimität, Autorität, Demokratie, Migration, Flucht"
Der große Demokrator,Ein Dokumentarfilm von Rami Hamze,https://www.bpb.de/mediathek/235511/der-grosse-demokrator,"Der Film greift aktuelle Fragen nach Bürgerbeteiligung, Migration oder Gentrifizierung auf. Rami Hamze geht dabei humorvoll und ohne erhobenen Zeigefinger einer Grundfrage der politischen Bildung nach: Wie findet man eigentlich zu einer Lösung, mit d","Bürgerbeteiligung, Migration, Gentrifizierung, Stadtpolitik, Kommunalpolitik, Mitbestimmung, Partizipation"
Der leere Stuhl,"Bundesrepublik Deutschland 1951, s/w",https://www.bpb.de/mediathek/206888/der-leere-stuhl,Demokratie und Partizipation gehören zusammen. Diese Erfahrung muss auch Herr Schneider machen. Sein Ärger mit dem Finanzamt führt ihn zu den Grundfragen einer Demokratie.,"Marshallplan, Partizipation, Deutschland Westzonen, Demokratie, Nachkriegszeit"
Der politische und historische Stellenwert der RAF,Die RAF-Prozesse - ehemalige Bundesanwälte erinnern sich,https://www.bpb.de/mediathek/190759/der-politische-und-historische-stellenwert-der-raf,"Wie beurteilen die ehemaligen Bundesanwälte Dirk Fernholz, Dr. Peter Morré und Felix Kaul den politischen und historischen Stellenwert der RAF?","Rote Armee Fraktion, APO / Studentenbewegung, Terrorismus, Rechtsstaat"
Der unsichtbare Stacheldraht,"BRD 1951, s/w",https://www.bpb.de/mediathek/206879/der-unsichtbare-stacheldraht,"Verständigungsschwierigkeiten zwischen Deutschen und Alliierten werden in dem Film ""Der unsichtbare Stacheldraht"" thematisiert. Vorbehalte der Deutschen kommen dabei ebenso zur Sprache wie die amerikanischen Hilfsleistungen.","Marshallplan, Deutschland 1945 -, Nachkriegszeit, Alliierte"
Der unterschätzte Einfluss der Geheimdienste,Publizist Dr. Andreas von Bülow im Gespräch,https://www.bpb.de/mediathek/73417/der-unterschaetzte-einfluss-der-geheimdienste,Im Interview sinniert der Publizist und ehemalige Bundesminister Dr. Andreas von Bülow über die Funktionsprinzipien von Geheimdiensten und ihren oft unterschätzten Einfluss auf die Politik.,"Spionagefilm, Kalter Krieg, Film, Geheimdienst, Überwachung"
Design Thinking & Kultur des Teilens Interview mit Andrea Scheer,Weitere Informationen,https://www.bpb.de/mediathek/246415/design-thinking-kultur-des-teilens-interview-mit-andrea-scheer,"Was ist eigentlich Design Thinking? Kann diese Methode eine „Kultur des Teilens“ an Lernorten fördern? Werkstatt.bpb.de hat mit Andrea Scheer, Lehrerin und Wissenschaftliche Mitarbeiterin an der d.school des Hasso-Plattner-Instituts über Grundvorauss","Design Thinking, „Kultur des Teilens“, werkstatt.bpb.de"
Deutsch lernen mit Schnitzel und Dolmades,Inhalt,https://www.bpb.de/mediathek/231499/deutsch-lernen-mit-schnitzel-und-dolmades,"Nachhaltige Deutschkurse für Geflüchtete: Der Deutsche Volkshochschul-Verband (DVV) bietet mit dem Projekt „Ich will Deutsch lernen“ ein kostenfreies Angebot an, das in Integrationskursen und von Selbstlernern genutzt werden kann. Ein Online-Portal u","Refugees, Lernen, Bildung, Sprache, Online, Social Media"
Deutsch werden,Der lange Weg zur Einbürgerung,https://www.bpb.de/mediathek/245428/deutsch-werden,"Mehr als 100.000 Menschen aus unterschiedlichen Ländern lassen sich Jahr für Jahr in Deutschland einbürgern. Doch deutsch werden ist ein langwieriger, komplizierter Prozess. Und für die Neubürger ist es oft ein schwieriger Abschied aus der alten Iden","Einbürgerung, Staatsbürgerschaft, Verfahren, Prüfung, Pass"
Deutsche Einheit am Balaton,Wo Ost und West sich begegneten,https://www.bpb.de/mediathek/701/deutsche-einheit-am-balaton,"In der Zeit des Kalten Krieges trafen sich am Balaton (Plattensee), im Süden Ungarns, Deutsche aus der BRD und der DDR in den 60er, 70er und 80er Jahren. Dort wurde für einige Urlaubswochen im Jahr deutsche Einheit gelebt, die 1990 Realität wurde. Di","Deutsche Einheit, Wiedervereinigung, Deutsche Teilung, Ministerium für Staatssicherheit, Stasi, Geschichtsdidaktik, DDR 1949 - 1990, BRD 1949 - 1990"
Deutscher Alltag: Was sie voneinander wissen,Beobachtungen in zwei Schulklassen in der DDR und der Bundesrepublik,https://www.bpb.de/mediathek/197820/deutscher-alltag-was-sie-voneinander-wissen,1983: Filmaufnahmen in einer polytechnischen Oberschule in Luckenwalde südlich von Berlin und einer Realschule in Bergheim bei Köln. Wie spiegeln sich die politischen Systeme wider? Welches Bild wird den Schülern vom anderen Teil vermittelt?,"Schule in der DDR, Deutsche Demokratische Republik, Bundesrepublik Deutschland, Schule, Schulklasse, Sportunterricht, Schüler, Polytechnische Oberschule, Realschule, Ausbildung, Sozialismus, Gesellschaft, Arbeit, Zukunft, Bildungssystem"
Deutschland innovativ – zwischen Transformationsdruck und Problemlösungskompetenz,Deutschland 2015: Unser Land - unsere Zukunft,https://www.bpb.de/mediathek/208429/deutschland-innovativ-zwischen-transformationsdruck-und-problemloesungskompetenz,"Am 12. Mai 2015 haben das Bundesministerium des Innern und die Bundeszentrale für politische Bildung zur letzten von vier Dialogveranstaltungen der Reihe ""Deutschland 2015: Unser Land - unsere Zukunft"" eingeladen. Hier sind die Eindrücke von der Vera","Innovation, Transformation, Veränderungen, Deutsch, Deutsche Einheit, Mauerfall"
